id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,G01Q04,prolificID,GenderEnglishAge,EnglishLingFamiliar,G00Q02,G00Q01,G01Q03,G01Q05,G01Q06,G01Q07,G01Q08,G01Q09,G01Q10,G01Q11,G01Q12,LoRes264,LoRes264[comment],LoRes1690,LoRes1690[comment],LoRes1747,LoRes1747[comment],LoRes3634,LoRes3634[comment],LoRes252,LoRes252[comment],LoRes1628,LoRes1628[comment],maera9115660,maera9115660[comment],maera2915877,maera2915877[comment],maera2069279,maera2069279[comment],maera8937576,maera8937576[comment],maera211758,maera211758[comment],maera3816453,maera3816453[comment],LoRes1420,LoRes1420[comment],maera126123,maera126123[comment],LoRes642,LoRes642[comment],maera2662955,maera2662955[comment],maera2632821,maera2632821[comment],maera7373236,maera7373236[comment],maera75347,maera75347[comment],LoRes2033,LoRes2033[comment],maera3635281,maera3635281[comment],maera7874650,maera7874650[comment],maera3864019,maera3864019[comment],LoRes10225,LoRes10225[comment],LoRes1693,LoRes1693[comment],maera8789291,maera8789291[comment],maera188358,maera188358[comment],maera4910927,maera4910927[comment],LoRes1023,LoRes1023[comment],maera354280,maera354280[comment],maera237090,maera237090[comment],maera4688103,maera4688103[comment],maera236186,maera236186[comment],LoRes1209,LoRes1209[comment],maera2971309,maera2971309[comment],maera6073367,maera6073367[comment],maera5581297,maera5581297[comment],maera301689,maera301689[comment],maera5578955,maera5578955[comment],maera3053292,maera3053292[comment],maera2165880,maera2165880[comment],maera39890,maera39890[comment],LoRes344,LoRes344[comment],maera138026,maera138026[comment],maera8285205,maera8285205[comment],LoRes16668,LoRes16668[comment],LoRes691,LoRes691[comment],maera5965049,maera5965049[comment],G04Q63
1,,1,en,1630110998,2025-08-15 18:13:38,2025-08-15 18:13:58,,611138062881f502878eaa1f,Yes,native,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-08-16 12:40:19,4,en,1134991133,2025-08-16 12:11:18,2025-08-16 12:40:19,,654d79320036594ca8ed56a2,Yes,I have taken one semester of a university linguistics class,,,,,,,,,,,,singular,,generic,,singular,,singular,,singular,,generic,,plural,,plural,,generic,,generic,,generic,,generic,,singular,,generic,,singular,,generic,,plural,,singular,,singular,,singular,,generic,,plural,,singular,,generic,,singular,,generic,,generic,,plural,,singular,,generic,,singular,,plural,,generic,,generic,,singular,,plural,,generic,,generic,,generic,,generic,,singular,,plural,,generic,,generic,,generic,,singular,,singular,,generic,,
3,2025-08-17 17:15:24,4,en,1694603523,2025-08-17 17:02:33,2025-08-17 17:15:24,,5eab120dde58220b71cf6599,Yes,I majored in English.,,,,,,,,,,,,generic,,generic,,singular,,singular,,singular,,generic,,plural,,plural,,generic,,generic,,generic,,generic,,singular,,singular,,singular,,generic,,plural,,generic,,singular,,singular,,plural,,singular,,singular,,singular,,generic,,plural,,plural,,plural,,singular,,generic,,singular,,plural,,singular,,singular,,generic,,plural,,singular,,plural,,plural,,generic,,plural,,singular,,singular,,generic,,plural,,generic,,singular,,singular,,
4,2025-08-18 19:35:36,4,en,733113108,2025-08-18 19:14:37,2025-08-18 19:35:36,,5a8c9bdd8fe2dc0001064221,Yes,casually familiar,,,,,,,,,,,,plural,,plural,,singular,,singular,,singular,,plural,,plural,,plural,,plural,,plural,,plural,,generic,,generic,,generic,,singular,,plural,,plural,,plural,,singular,,singular,,plural,,plural,,plural,,generic,,singular,,plural,,plural,,plural,,singular,,generic,,plural,,generic,,generic,,singular,,plural,,plural,,singular,,generic,,singular,,singular,,singular,,generic,,generic,,generic,,plural,,generic,,singular,,generic,,
5,2025-08-20 00:57:58,4,en,1550149975,2025-08-20 00:11:43,2025-08-20 00:57:58,,6115bb731c445ab5a7289b9e,Yes,Very familiar. English was my first language and I write a lot for work.,,,,,,,,,,,,singular,This is singular because it's talking about a person who's trying to scam them.,generic,"This is generic because it is referring to a singular, unknown person in a hypothetical scenario.",singular,It's singular because it refers to the developer.,singular,"Singular, because it refers to the relative.",generic,It's generic because it refers to a hypothetical person.,plural,This is plural because it refers to a lot of people.,plural,This is plural because it refers to multiple mentors.,plural,This is plural because it is talking about multiple ears.,generic,This is generic because it is referring to a hypothetical store.,singular,"Singular, because it refers to one character.",plural,This is plural because it's referring to a business.,generic,"This is generic because the ""them"" refers to a hypothetical person.",generic,"Generic, because it's talking about a hypothetical person.",singular,It refers to one teenager.,singular,This is singular because it is referring to a specific person.,singular,"This is singular because it refers to ""umkao"" only.",plural,This one is plural because it refers to multiple presidents.,plural,This is plural because it's talking about people shortening the name.,singular,This one is singular because it refers to a specific agent.,singular,"It's referring to a specific person, so it is singular.",plural,"It's referring to multiple shoes, so it is plural.",plural,This is plural because the comment is talking about many butterflies.,plural,This is plural because it is referring to multiple people downvoting someone.,generic,This one is generic because it is a hypothetical scenario.,singular,"Singular, because it's referring to a specific person.",plural,"This is plural because it's referring to ""convention organizers.""",plural,This is plural because it's referring to multiple news people.,plural,"This is plural because it's talking about ""words.""",singular,It's singular because it's talking about the OP.,generic,This is talking about a generic person.,plural,It's plural because it's referring to McDonald's,plural,This is plural because it's referring to multiple moms.,generic,This is generic because it is referring to an omen machine.,singular,"Singular, because it's talking about one person.",plural,This is plural because it's about the company.,generic,"Generic, because it is talking about a non-specific character.",plural,This is plural because it's referring to a group of people.,plural,This is plural because it's talking about multiple partners.,singular,It's referring to the pharmacy manager.,singular,"Singular, because it's referring to the patient.",singular,"Singular, because it's referring to a single Phalangite.",generic,This is generic because it is about a hypothetical pet.,generic,This one is generic because it refers to a non-specific person.,generic,This is generic because it's about a non-specific person.,plural,It refers to multiple programmers.,generic,It's generic because it is talking about someone in a hypothetical scenario.,singular,"Singular, because it's making fun of one person.",generic,It refers to a generic person who is getting injured.,I do not have any additional comments.
6,2025-08-20 17:55:16,4,en,67529667,2025-08-20 17:40:51,2025-08-20 17:55:16,,5ec03a7169738f43d87ffc72,Yes,Very familiar,,,,,,,,,,,,generic,,generic,,singular,,singular,,singular,,plural,,plural,,generic,,plural,,plural,,plural,,singular,,generic,,generic,,singular,,plural,,plural,,plural,,plural,,singular,,generic,,plural,,plural,,generic,,generic,,plural,,plural,,generic,,singular,,generic,,generic,,plural,,singular,,singular,,plural,,plural,,singular,,generic,,plural,,plural,,singular,,singular,,singular,,generic,,plural,,singular,,singular,,generic,,
7,2025-08-21 18:44:43,4,en,1659338824,2025-08-21 18:14:43,2025-08-21 18:44:43,,60f80462613c5e998b7c667b,Yes,pretty familiar,,,,,,,,,,,,singular,they are talking about someone they were selling a car to,plural,they are talking about their family,singular,a specific person,singular,they are talking about a specific relative they have,generic,they are talking about a hypothetical situation,plural,multiple people are being referenced,generic,hypothetical situation,singular,Xiao is a specific person,plural,they are talking about a company/store,singular,they are talking about a specific character?,plural,they are talking about a company they are giving feedback to,generic,a singular person is being talked about but in a hypothetical situation,singular,they are referencing people they have bumped into in the past,generic,the 15 year old is hypothetical,singular,they are talking about a specific person who posted about an exchange they had,singular,they are talking about a person they bought something from,plural,they're talking about the government,plural,it could be a single person or a group of people,plural,i think they are talking about a group of agents that the OP needs to contact,singular,a specific person they sat next to is being spoken about,plural,they are talking about a pair of shoes,plural,they are talking about a group of butterflies,plural,they are talking about the people who are downvoting the comment,generic,it seems like they aren't referencing a specific person. hypothetical,singular,they are referring to a specific person,plural,they are talking about a group of event organizers,plural,they are talking about a multiple journalists,plural,they are talking about words,singular,they are referencing the OP,generic,they are talking about a hypothetical situation,plural,they are talking about mcdonalds as a company,plural,they are talking about multiple of their friends moms,generic,a hypothetical situation,singular,a specific person,plural,they are referencing a company?,singular,they are talking about a specific person within a game,singular,they are talking about a specific twitter user,plural,they are talking about multiple people they have dated,singular,"they are talking about the pharmacy manager, a single person",generic,a singular person had consulted an attorney,generic,they are talking about hypothetical situations within a game,plural,they are referring to pets as a collective,generic,the them refers to people in a hypothetical situation,generic,a single person,plural,they are talking about a team in charge of developing the game,generic,they are talking about a hypothetical situation,singular,they are referencing the OP,generic,a hypothetical situation,
8,2025-08-21 22:40:30,4,en,48703001,2025-08-21 22:09:56,2025-08-21 22:40:30,,5eba16d1843bd1154b5a2aa9,Yes,Native English Speaker,,,,,,,,,,,,generic,,plural,,singular,,singular,,singular,,plural,,plural,,plural,,generic,,singular,,plural,,generic,,generic,,singular,,generic,,generic,,plural,,plural,,plural,,singular,,generic,,plural,,plural,,singular,,generic,,plural,,generic,,generic,,singular,,generic,,singular,,plural,,plural,,generic,,singular,,generic,,generic,,generic,,singular,,generic,,singular,,singular,,generic,,generic,,plural,,plural,,singular,,generic,,
9,2025-08-23 22:38:08,4,en,1364514505,2025-08-23 22:31:19,2025-08-23 22:38:08,,6777195b74dda970fd6aeb04,Yes,Somewhat,,,,,,,,,,,,singular,,singular,,generic,,singular,,singular,,plural,,generic,,generic,,generic,,plural,,plural,,singular,,singular,,generic,,singular,,plural,,generic,,plural,,singular,,singular,,generic,,plural,,singular,,generic,,singular,,generic,,plural,,plural,,generic,,plural,,generic,,plural,,generic,,generic,,plural,,generic,,plural,,plural,,singular,,generic,,singular,,singular,,singular,,singular,,singular,,singular,,singular,,generic,,
10,2025-08-25 12:51:18,4,en,265815925,2025-08-25 12:22:03,2025-08-25 12:51:18,,5d753f9afaed210001bf2ea0,Yes,Native speaker with A* grades in English Language/Literature,,,,,,,,,,,,singular,Referring to a singular scammer,generic,Hypothetical person.,singular,Singular specific developer,singular,Singular relative,singular,Specifically a singular barber,plural,"Multiple ""people"" saying",plural,Plural mentors,plural,Multiple pointy ears,plural,Plural as in company,plural,They as in a game development company,plural,Referring to multiple people receiving feedback,generic,Generic hypothetical buyer,generic,Generic hypothetical person,singular,Specific 15-year-old,singular,Singular person gender undisclosed,plural,They as in a company,plural,They as in an institution,plural,They as in plural online users,plural,Referring to a lettings agency/group of agents,singular,Singular person doing an action,plural,Pair of shoes - plural of shoe,plural,Referring to multiple photos,plural,Plural online users,generic,Generic hypothetical politician,generic,"OP is talking about speaking to other parents in general. Generic they referring to hypothetical ""parent"".",plural,Multiple organizers,plural,Multiple news vans/reporters,plural,Plural words,singular,Referring to original poster,generic,Hypothetical scenario,plural,They as in the McDonald's company,plural,Multiple moms,generic,They is referring to a hypothetical player,singular,Specific driver unknown gender,plural,Company,generic,Generic - referring to hypothetical other player,singular,Seems to be in reference to a single person/other commenter,plural,Referring to multiple possible people,singular,Referring to singular pharmacy manager.,singular,Singular person looking for legal advice,singular,Specific character with undisclosed gender,generic,Seems to be talking hypothetically about pets in general,generic,"Generic statement, hypothetical",generic,Hypothetical rhetorical person,plural,Team of developers/game company,generic,Hypothetical person in need,singular,Specific person undisclosed gender,generic,Generic hypothetical person,
11,2025-08-26 16:42:42,4,en,1975249099,2025-08-26 16:29:57,2025-08-26 16:42:42,,6760bdd93aca61f1e64ed341,Yes,"Very, it was my undergraduate degree",,,,,,,,,,,,singular,I’ve had it when selling a car. Asked me to ship some crappy car which would have been cheaper there over for them. I can’t remember how they wanted to pay me (which would have been the scam part). Funnily when I said ‘luckily I have a U.K. bank account (I’m English) so they could pay direct into that one they lost interest. 😂,plural,"Absolutely, I'd be doing it for their own benefit. Either to protect them from killing themselves or from killing someone else; and then having to deal with the trauma of living with that as well as potential prison time.

I think a driving ban and a fine is a pretty fair enough trade-off to ensure I keep my family alive and out of jail.",singular,"I worked an amazing developer, they understood the entire project and build intricately, right first time, no mistakes and quick. But they were arrogant and argumentative with a massive sense of self worth ""this project fails without me"" type attitude and before too long he was moved off the project for being an arsehole. Project still delivered and they weren't missed.",singular,I have a relative that pretends they didn’t vote,singular,"if a barber told me they had a headache, and asked if it was ok if you focus and not chat i think i would be ok with it right? maybe some fancy hair do people would care. if you need a break tell me xD",plural,"I agree 100% It's similar to the ""2011 was shit, 2012 will ROCK!"" thing... People seem to think that 2011 was inherently bad and that's why they didn't get the outcomes they wanted, when really people need to attempt those outcomes for themselves as HARD AS POSSIBLE and only then blame external forces.",singular,"Mentor icon is meant to show that these players have a good amount of experience and knowledge under them, are helpful, and have taken up the responsibility to assist newer players.

Some mentors forgot the last part and sees their crown as merely some form of recognition.

Respect is earned, but this applies to everyone without exception. Mentors deserve as much respect as they earn. If mentors aren't helpful and irresponsible in carrying out their role, then they don't deserve to be a mentor. The requirement to obtain the icon is the bare minimum for them to take up the role.

That being said a screenshot of the conversation would be better for these type of posts, because it seems that some things are lost in translation, and even if the mentor has said something legitimate, we can't really help interpret that based on your post.",plural,Xiao with pointy ears is a must!!!! I never draw him without them!,generic,"Yes it means tax, but it's not a contractual obligation that the store will pay your tax. The store is simply required to pay the tax due to them selling the item. I couldn't just pass the sales tax of everything I sell onto my customers. Feel free to open a retail business and let me know.",singular,"I think people are really forgetting why Evolve died. It wasn't DLCs, shitty monetization practices or anything like that. This game just wasn't fun and wasn't good. At first during beta and after release matches were going on for too long. It was too easy to run away as a monster and stall game until you level up. So they made some changes to speed up the game, but problem is this game wasn't designed around faster matches so balance became an even bigger issue. And when we talk about balance... it was non existent. Anyone remember how OP, to a point it was simply broken, Wraith was? Then they nerfed him to the ground, then made him viable again with buffs, but after nerfs people rarely picked him since Kraken became #1 pick.

I played this game on both sides, played it during beta, after release, after hunt 2.0 and after it went F2P. It was always same problem. If a competent player played as monster and picked viable monster (Kraken, Goliath, pre-nerf Wraith or post buffs/rework) then for hunters whole match turned into running around the map, only occasionally seeing monster until it leveled up and then just stomped them easily. Like seriously, if monster player was a little competent then this game ALWAYS looked like this: monster player runs around leveling up, it's boring both for monster and hunters. Monster finally reaches max level and just stomps hunters.",generic,"Oh yeah, I'm all for giving feedback. I have made several posts and commented on more. I also have tried Garen in PBE (although just in practice mode). I'm not saying we shouldn't give feedback.

I'm just saying that accepting feedback is different than doing everything we ask them to. They've been refreshingly open about the how's and why's of what they're doing, even when that opens them to criticism for their design decisions.

